facility,country_code,country,city,year,pollutant,total_emissions
"LEAG, Kraftwerk Schwarze Pumpe ",DE,Germany,Spremberg,2023,NOX,4851000
Faserplattenwerk Fiberboard GmbH  ,DE,Germany,Baruth/Mark,2023,NOX,474000
EEW Energy from Waste Großräschen GmbH ,DE,Germany,Großräschen,2023,NOX,169000
Hamburger Rieger GmbH Geschäftsfeld Kraftwerk ,DE,Germany,Spremberg,2023,NOX,290000
PCK Raffinerie GmbH Schwedt  ,DE,Germany,Schwedt/Oder,2023,NOX,1688000
Stadtwerke Frankfurt (Oder) GmbH  ,DE,Germany,Frankfurt (Oder),2023,NOX,112000
Sonae Arauco Beeskow GmbH ,DE,Germany,Beeskow,2023,NOX,107000
Progroup Power 1 GmbH  ,DE,Germany,Eisenhüttenstadt,2023,NOX,188000
Danpower GmbH; Biomasse-HKW Elsterwerda ,DE,Germany,Elsterwerda,2023,NOX,132000
"LEAG, Kraftwerk Jänschwalde ",DE,Germany,Teichland,2023,NOX,10647000
Ardagh Glass GmbH ,DE,Germany,Drebkau,2023,NOX,111000
BASF Schwarzheide GmbH ,DE,Germany,Schwarzheide,2023,NOX,172000
Pfleiderer Baruth GmbH  ,DE,Germany,Baruth/Mark,2023,NOX,194000
BEW HKW Reuter-West ,DE,Germany,Berlin,2023,NOX,847000
BSR / MHKW ,DE,Germany,Berlin,2023,NOX,185000
BEW HKW Klingenberg ,DE,Germany,Berlin,2023,NOX,196000
BEW HKW Mitte ,DE,Germany,Berlin,2023,NOX,471000
BEW HKW Marzahn ,DE,Germany,Lichtenberg,2023,NOX,134000
BEW HKW Moabit ,DE,Germany,Berlin,2023,NOX,105000
FHW Neukölln AG ,DE,Germany,Berlin,2023,NOX,120000
"BTB Blockheizkraftwerks, Träger- und Betreibergesellschaft mbH",DE,Germany,Berlin,2023,NOX,126000
BEW GuD HKW Lichterfelde ,DE,Germany,Berlin,2023,NOX,306000
EnBW HKW Heilbronn ,DE,Germany,Heilbronn,2023,NOX,256000
EnBW HKW Stuttgart-Münster (mit MVA) HKW Stuttgart-Münster (mit MVA),DE,Germany,Stuttgart,2023,NOX,253000
Fernwärme Ulm HKW ,DE,Germany,Ulm,2023,NOX,195000
Junginger Naturenergie GmbH ,DE,Germany,Gaildorf,2023,NOX,115000
"Mercedes Benz AG, Werk Sindelfingen Mercedes-Benz Werk Sindelfingen",DE,Germany,Sindelfingen,2023,NOX,114000
Biomasse-Heizkraftwerk ,DE,Germany,Herbrechtingen,2023,NOX,142000
EnBW HKW Altbach ,DE,Germany,Altbach,2023,NOX,487000
SCHWENK Zement GmbH & Co. KG ,DE,Germany,Heidenheim an der Brenz,2023,NOX,253000
EnBW KW Walheim ,DE,Germany,Walheim,2023,NOX,101000
Stora Enso Maxau GmbH ,DE,Germany,Karlsruhe,2023,NOX,218000
GKM Grosskraftwerk Mannheim AG ,DE,Germany,Mannheim,2023,NOX,1135000
Essity Operations Mannheim GmbH ,DE,Germany,Mannheim,2023,NOX,441000
OPTERRA Wössingen GmbH Werk Wössingen ,DE,Germany,Walzbachtal,2023,NOX,223000
BEB Bioenergie Baden GmbH ,DE,Germany,Kehl,2023,NOX,127000
Stockach Aluminium  GmbH ,DE,Germany,Stockach,2023,NOX,145000
Schwenk Zement ,DE,Germany,Allmendingen,2023,NOX,423000
HeidelbergCement ,DE,Germany,Schelklingen,2023,NOX,267000
Sappi ,DE,Germany,Ehingen (Donau),2023,NOX,247000
Verallia Deutschland ,DE,Germany,Bad Wurzach,2023,NOX,249000
Holcim (Süddeutschland) GmbH ,DE,Germany,Dotternhausen,2023,NOX,223000
MVV Umwelt Asset GmbH - MHKW Mannheim ,DE,Germany,Mannheim,2023,NOX,215000
MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG Werk 1,DE,Germany,Karlsruhe,2023,NOX,1393000
MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG Werk 2,DE,Germany,Karlsruhe,2023,NOX,633000
EnBW Energie Baden-Württemberg AG (RDK) ,DE,Germany,Karlsruhe,2023,NOX,1540000
Badische Stahlwerke GmbH ,DE,Germany,Kehl,2023,NOX,150000
Onyx Kraftwerk Zolling GmbH & Co. KGaA,DE,Germany,Zolling,2023,NOX,655000
Abfallheizkraftwerk Geiselbullach,DE,Germany,Olching,2023,NOX,106000
GSB Sonderabfall-Entsorgung Bayern GmbH - Ebenhausen,DE,Germany,Baar-Ebenhausen,2023,NOX,133000
SWM Heizkraftwerk Nord,DE,Germany,Unterföhring,2023,NOX,1220000
SWM Heizkraftwerk Süd,DE,Germany,München,2023,NOX,149000
"Uniper Kraftwerke GmbH, Kraftwerk Irsching",DE,Germany,Vohburg a.d.Donau,2023,NOX,294000
Müllverwertungsanlage Ingolstadt,DE,Germany,Ingolstadt,2023,NOX,147000
ASK Chemicals Metallurgy GmbH,DE,Germany,Unterneukirchen,2023,NOX,109000
"OMV Deutschland Operations GmbH & Co. KG, Werk Burghausen",DE,Germany,Burghausen,2023,NOX,871000
